generation,score
0,0.5427393561068158
0,0.5469507228477027
0,0.5481406141184857
0,0.5545406069179057
0,0.5546163578763739
0,0.5591864028023016
0,0.5594728888515199
0,0.5600197456591605
0,0.5601654897532973
0,0.5621077568675223
1,0.5536556291955709
1,0.5541207300166878
1,0.5599612856381913
1,0.560571373733755
1,0.5605794407472605
1,0.5607509219532059
1,0.5644943861585291
1,0.5651919227546032
1,0.566180790753126
1,0.5666905209792353
2,0.5458040995385541
2,0.548991560738319
2,0.5494729809918596
2,0.5545042445955017
2,0.5610830005312689
2,0.5637283240927871
2,0.5646173101199564
2,0.566126808223134
2,0.5711985076547433
2,0.5725334309938913
3,0.5384390940057929
3,0.5464817871899739
3,0.5500082775110423
3,0.5503742965730971
3,0.550870656847172
3,0.5522875177359159
3,0.558834062416441
3,0.5591725058434407
3,0.5599694944000368
3,0.5670422186173782
4,0.5518657402318938
4,0.5529856908125468
4,0.5542501859896763
4,0.5561065962462343
4,0.5610617090172636
4,0.5636761494106384
4,0.5638735456196476
4,0.5645124726638556
4,0.5669735735634293
4,0.5706753921142771
5,0.5433285812351675
5,0.5453428375590926
5,0.5500061294811017
5,0.5537487950149159
5,0.5538211987060081
5,0.5573016828624668
5,0.5608057718261256
5,0.5616403229669764
5,0.564502664731399
5,0.5705165519290292
6,0.5436299651800097
6,0.5544466864122418
6,0.5556542878640377
6,0.5561320939677986
6,0.5568351429555491
6,0.5569949222518452
6,0.5607879520330611
6,0.5612336180397947
6,0.5636874663067287
6,0.5648917692231328
7,0.5532958698818313
7,0.5575521264374083
7,0.5576903023210329
7,0.5598871807661342
7,0.5631389859709205
7,0.5636222432785091
7,0.5643744289828818
7,0.5646900858699474
7,0.5649720020202147
7,0.5672056072596432
8,0.5516751195592918
8,0.552077354520557
8,0.5568106161269756
8,0.5568592234886026
8,0.5576919953983348
8,0.5594573524660296
8,0.5612825813126496
8,0.5641413424806988
8,0.5664084174613022
8,0.5687440515005991
9,0.5484322049205964
9,0.5484757849059317
9,0.5496430835492994
9,0.5537711403933401
9,0.556102089718818
9,0.5601516761497888
9,0.5612309083709756
9,0.5613523498406986
9,0.5626588449308745
9,0.5690752851518031
