通道1	通道2	通道3	通道4	通道5	通道6	
-77.000000	-26.000000	-15.000000	-13.000000	-19.000000	-44.000000	2023/5/21 星期日 11:13:09
-77.000000	-26.000000	-15.000000	-13.000000	-19.000000	-44.000000	2023/5/21 星期日 11:13:09
-77.000000	-26.000000	-15.000000	-13.000000	-19.000000	-44.000000	2023/5/21 星期日 11:13:09
-77.000000	-26.000000	-15.000000	-13.000000	-19.000000	-44.000000	2023/5/21 星期日 11:13:09
-77.000000	-26.000000	-15.000000	-13.000000	-19.000000	-44.000000	2023/5/21 星期日 11:13:09
-77.000000	-26.000000	-15.000000	-13.000000	-19.000000	-44.000000	2023/5/21 星期日 11:13:09
-77.000000	-26.000000	-15.000000	-13.000000	-19.000000	-44.000000	2023/5/21 星期日 11:13:09
-142.000000	-1.000000	-3.000000	-8.000000	51.000000	-77.000000	2023/5/21 星期日 11:13:09
-112.000000	-1.000000	-3.000000	-8.000000	51.000000	-77.000000	2023/5/21 星期日 11:13:09
-112.000000	-23.000000	-3.000000	-8.000000	51.000000	-77.000000	2023/5/21 星期日 11:13:09
-112.000000	-23.000000	-3.000000	-8.000000	66.000000	-77.000000	2023/5/21 星期日 11:13:09
-112.000000	-23.000000	-3.000000	-8.000000	66.000000	-77.000000	2023/5/21 星期日 11:13:09
-112.000000	-23.000000	17.000000	-8.000000	66.000000	-35.000000	2023/5/21 星期日 11:13:09
-33.000000	-23.000000	17.000000	37.000000	66.000000	-35.000000	2023/5/21 星期日 11:13:09
-33.000000	-23.000000	17.000000	37.000000	66.000000	-35.000000	2023/5/21 星期日 11:13:09
-33.000000	2.000000	17.000000	37.000000	66.000000	-35.000000	2023/5/21 星期日 11:13:09
-33.000000	2.000000	17.000000	37.000000	-25.000000	-35.000000	2023/5/21 星期日 11:13:09
-33.000000	2.000000	18.000000	37.000000	-25.000000	92.000000	2023/5/21 星期日 11:13:09
-33.000000	2.000000	18.000000	37.000000	-25.000000	92.000000	2023/5/21 星期日 11:13:09
72.000000	16.000000	18.000000	112.000000	-25.000000	92.000000	2023/5/21 星期日 11:13:09
72.000000	16.000000	18.000000	112.000000	-25.000000	92.000000	2023/5/21 星期日 11:13:09
72.000000	16.000000	18.000000	112.000000	100.000000	92.000000	2023/5/21 星期日 11:13:09
72.000000	16.000000	5.000000	112.000000	100.000000	-41.000000	2023/5/21 星期日 11:13:09
-106.000000	16.000000	5.000000	193.000000	100.000000	-41.000000	2023/5/21 星期日 11:13:09
