,Time,Fx,Fy,Fz,Mx,My,Mz
0,0.013693094253540039,-0.25261648745519727,-0.1499999999999999,-0.5379569892473111,0.0358229390681003,0.0062032258064517,-0.0035007168458780907
1,0.03066563606262207,-0.20261648745519745,-0.16999999999999993,-0.5179569892473097,0.0290229390681003,0.0090032258064517,-0.0007007168458780938
2,0.047629594802856445,-0.19261648745519722,-0.10999999999999988,-0.7179569892473108,0.008022939068100296,0.0103032258064517,0.0032992831541219098
3,0.06454896926879883,-0.22261648745519746,-0.1200000000000001,-0.5979569892473098,-0.012577060931899697,0.0160032258064517,-0.0018007168458780975
4,0.0816035270690918,-0.18261648745519743,-0.08999999999999986,-0.5679569892473104,-0.016177060931899703,0.0180032258064517,-0.007600716845878097
5,0.09859967231750488,-0.22261648745519746,0.050000000000000266,-0.707956989247311,-0.03667706093189971,0.0036032258064516987,-0.004700716845878097
6,0.11574506759643555,-0.22261648745519746,0.050000000000000266,-0.707956989247311,-0.03667706093189971,0.0036032258064516987,-0.004700716845878097
7,0.1325669288635254,-0.2626164874551975,0.010000000000000231,-0.29795698924731084,-0.04767706093189969,-0.0088967741935483,-0.003100716845878093
8,0.14973950386047363,-0.23261648745519725,0.0900000000000003,-0.24795698924731013,-0.0505770609318997,-0.0172967741935483,0.005099283154121906
9,0.16665148735046387,-0.32261648745519755,0.14000000000000012,-0.19795698924730942,-0.07007706093189969,-0.0288967741935483,0.013799283154121905
10,0.18376564979553223,-0.32261648745519755,0.08000000000000007,0.25204301075268987,-0.07397706093189971,-0.0248967741935483,0.006799283154121913
11,0.2006087303161621,-0.30261648745519754,0.06000000000000005,0.4920430107526901,-0.05557706093189971,-0.0163967741935483,-0.004500716845878092
12,0.21770787239074707,-0.3126164874551973,0.08000000000000007,0.44204301075268937,-0.037877060931899686,-0.0384967741935483,-0.0029007168458780874
13,0.23476123809814453,-0.3126164874551973,0.08000000000000007,0.44204301075268937,-0.037877060931899686,-0.0384967741935483,-0.0029007168458780874
14,0.255615234375,-0.35261648745519736,0.10999999999999988,0.4220430107526898,-0.03907706093189969,-0.0722967741935483,0.012899283154121893
15,0.272658109664917,-0.4026164874551972,0.06000000000000005,0.66204301075269,-0.05067706093189969,-0.08859677419354829,0.021799283154121912
16,0.28977179527282715,-0.3726164874551974,0.040000000000000036,0.9420430107526894,-0.06187706093189971,-0.08079677419354829,0.012099283154121898
17,0.3066861629486084,-0.32261648745519755,0.08000000000000007,1.2020430107526892,-0.0611770609318997,-0.0698967741935483,-0.005700716845878098
18,0.32369208335876465,-0.25261648745519727,0.0900000000000003,1.4420430107526894,-0.041577060931899695,-0.0673967741935483,-0.011900716845878095
19,0.3407301902770996,-0.19261648745519722,0.1299999999999999,1.4320430107526896,-0.02707706093189971,-0.0724967741935483,-0.0035007168458780907
20,0.35777759552001953,-0.1626164874551974,0.14000000000000012,1.5220430107526894,-0.026377060931899704,-0.0709967741935483,0.00669928315412191
21,0.37460756301879883,-0.1626164874551974,0.14000000000000012,1.5220430107526894,-0.026377060931899704,-0.0709967741935483,0.00669928315412191
22,0.3917577266693115,-0.15261648745519718,0.08000000000000007,1.7320430107526903,-0.025277060931899686,-0.0441967741935483,0.003999283154121902
23,0.4086337089538574,-0.10261648745519736,0.06000000000000005,1.8520430107526895,-0.012977060931899695,-0.0058967741935483,-0.009900716845878094
24,0.4256250858306885,0.01738351254480275,0.07000000000000028,1.83204301075269,0.015622939068100306,0.0263032258064517,-0.0183007168458781
25,0.44265174865722656,0.057383512544802784,0.06000000000000005,1.4420430107526894,0.0457229390681003,0.0405032258064517,-0.009500716845878096
26,0.4597592353820801,-0.03261648745519752,0.040000000000000036,0.9620430107526889,0.0540229390681003,0.0419032258064517,0.0005992831541219018
27,0.47688984870910645,-0.10261648745519736,0.0,0.7520430107526899,0.0513229390681003,0.046003225806451706,-0.003100716845878093
28,0.493882417678833,-0.10261648745519736,0.0,0.7520430107526899,0.0513229390681003,0.046003225806451706,-0.003100716845878093
29,0.5110316276550293,-0.1626164874551974,-0.020000000000000018,0.5320430107526892,0.0561229390681003,0.048903225806451706,-0.013400716845878097
30,0.529188871383667,-0.24261648745519748,-0.009999999999999787,0.27204301075268944,0.06522293906810031,0.0429032258064517,-0.018100716845878093
31,0.5476112365722656,-0.30261648745519754,-0.020000000000000018,0.07204301075269015,0.0765229390681003,0.0338032258064517,-0.017600716845878092
32,0.5651988983154297,-0.35261648745519736,-0.029999999999999805,-0.11795698924731113,0.0857229390681003,0.030103225806451698,-0.017700716845878095
33,0.5831756591796875,-0.4226164874551972,-0.040000000000000036,-0.29795698924731084,0.0976229390681003,0.025703225806451697,-0.01990071684587809
34,0.6009271144866943,-0.5226164874551973,-0.06999999999999984,-0.5679569892473104,0.1104229390681003,0.012703225806451699,-0.023000716845878094
35,0.6179463863372803,-0.5426164874551973,-0.1200000000000001,-0.7379569892473103,0.1181229390681003,0.00030322580645169954,-0.02670071684587809
36,0.6349806785583496,-0.5426164874551973,-0.1200000000000001,-0.7379569892473103,0.1181229390681003,0.00030322580645169954,-0.02670071684587809
37,0.6520640850067139,-0.46261648745519723,-0.1499999999999999,-0.8979569892473105,0.1238229390681003,-0.0049967741935483,-0.02580071684587809
38,0.6700618267059326,-0.4126164874551974,-0.16999999999999993,-1.207956989247311,0.1244229390681003,-0.0152967741935483,-0.014500716845878087
39,0.6879661083221436,-0.4426164874551972,-0.2799999999999998,-1.4079569892473103,0.1236229390681003,-0.0345967741935483,0.0013992831541219108
