Generation,Id,Score,Motor,Neutral,Amplitude
0,0,0.2692047860733318,0.01832196,0.42284382,0.15978612
0,1,0.27433995545718265,0.01832196,0.42284382,0.15978612
0,2,0.26408025529099033,0.01832196,0.42284382,0.15978612
0,3,0.26231187281448776,0.01832196,0.42284382,0.15978612
0,4,0.2741565579546469,0.01832196,0.42284382,0.15978612
0,5,0.26507330707029053,0.01832196,0.42284382,0.15978612
0,6,0.2653657322127731,0.01832196,0.42284382,0.15978612
0,7,0.27588425598720834,0.01832196,0.42284382,0.15978612
0,8,0.2671817068754737,0.01832196,0.42284382,0.15978612
0,9,0.2649398334171563,0.01832196,0.42284382,0.15978612
