sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,timestamp
1.9941478967666626e-05,-2.8520582183722e-05,2.4612632489970365e-05,-1.443201495754387e-05,-2.652887375120816e-05,3.0946587362599975e-05,0.0
1.9941478967666626e-05,-2.8520582183722e-05,2.4612632489970365e-05,-1.443201495754387e-05,-2.652887375120816e-05,3.0946587362599975e-05,0.01658177375793457
1.9941478967666626e-05,-2.8520582183722e-05,2.4612632489970365e-05,-1.443201495754387e-05,-2.652887375120816e-05,2.005383852989734e-05,0.03200554847717285
1.4353543519973755e-05,-2.291774557483528e-05,2.58121759660751e-05,-5.908550754663011e-06,-1.9674339602038238e-05,2.005383852989734e-05,0.04792618751525879
1.4353543519973755e-05,-2.291774557483528e-05,2.58121759660751e-05,-5.908550754663011e-06,-1.9674339602038238e-05,2.005383852989734e-05,0.06403231620788574
1.4353543519973755e-05,-2.291774557483528e-05,2.58121759660751e-05,-5.908550754663011e-06,-1.9674339602038238e-05,2.005383852989734e-05,0.08004903793334961
1.4353543519973755e-05,-2.291774557483528e-05,2.58121759660751e-05,-5.908550754663011e-06,-1.9674339602038238e-05,2.005383852989734e-05,0.09585428237915039
1.4353543519973755e-05,-2.291774557483528e-05,2.58121759660751e-05,-5.908550754663011e-06,-1.9674339602038238e-05,2.005383852989734e-05,0.11195945739746094
1.4353543519973755e-05,-2.291774557483528e-05,2.58121759660751e-05,-5.908550754663011e-06,-1.9674339602038238e-05,1.4115725794149048e-05,0.12810635566711426
1.4353543519973755e-05,-2.291774557483528e-05,2.58121759660751e-05,-5.908550754663011e-06,-1.9674339602038238e-05,1.4115725794149048e-05,0.14458203315734863
1.2625008821487427e-05,-3.6373494132879713e-05,1.6811874604991117e-05,-1.633936359035637e-05,-4.832783052965972e-06,1.4115725794149048e-05,0.1600055694580078
1.2625008821487427e-05,-3.6373494132879713e-05,1.6811874604991117e-05,-1.633936359035637e-05,-4.832783052965972e-06,1.4115725794149048e-05,0.1759779453277588
1.2625008821487427e-05,-3.6373494132879713e-05,1.6811874604991117e-05,-1.633936359035637e-05,-4.832783052965972e-06,1.4115725794149048e-05,0.1925337314605713
1.2625008821487427e-05,-3.6373494132879713e-05,1.6811874604991117e-05,-1.633936359035637e-05,-4.832783052965972e-06,1.4115725794149048e-05,0.2085576057434082
1.2625008821487427e-05,-3.6373494132879713e-05,1.6811874604991117e-05,-1.633936359035637e-05,-4.832783052965972e-06,1.4115725794149048e-05,0.22460579872131348
1.2625008821487427e-05,-3.6373494132879713e-05,1.6811874604991117e-05,-1.633936359035637e-05,-4.832783052965972e-06,8.177613058400757e-06,0.24001455307006836
1.5642493963241577e-05,-3.804242418659065e-05,6.143123872787148e-07,-1.061731769191887e-05,-4.017833740477261e-05,8.177613058400757e-06,0.256117582321167
1.5642493963241577e-05,-3.804242418659065e-05,6.143123872787148e-07,-1.061731769191887e-05,-4.017833740477261e-05,8.177613058400757e-06,0.27202844619750977
1.5642493963241577e-05,-3.804242418659065e-05,6.143123872787148e-07,-1.061731769191887e-05,-4.017833740477261e-05,8.177613058400757e-06,0.287853479385376
1.5642493963241577e-05,-3.804242418659065e-05,6.143123872787148e-07,-1.061731769191887e-05,-4.017833740477261e-05,8.177613058400757e-06,0.304002046585083
1.5642493963241577e-05,-3.804242418659065e-05,6.143123872787148e-07,-1.061731769191887e-05,-4.017833740477261e-05,8.177613058400757e-06,0.3205854892730713
1.5642493963241577e-05,-3.804242418659065e-05,6.143123872787148e-07,-1.061731769191887e-05,-4.017833740477261e-05,-6.805300231902539e-05,0.336057186126709
1.5642493963241577e-05,-3.804242418659065e-05,6.143123872787148e-07,-1.061731769191887e-05,-4.017833740477261e-05,-6.805300231902539e-05,0.35259532928466797
9.604915976524353e-05,-3.804242418659065e-05,-1.1388572954365572e-05,-0.00010932260943996575,-0.00021231655151610074,-6.805300231902539e-05,0.36856722831726074
9.604915976524353e-05,-3.804242418659065e-05,-1.1388572954365572e-05,-0.00010932260943996575,-0.00021231655151610074,-6.805300231902539e-05,0.38394641876220703
9.604915976524353e-05,-3.804242418659065e-05,-1.1388572954365572e-05,-0.00010932260943996575,-0.00021231655151610074,-6.805300231902539e-05,0.39982056617736816
9.604915976524353e-05,-3.804242418659065e-05,-1.1388572954365572e-05,-0.00010932260943996575,-0.00021231655151610074,-6.805300231902539e-05,0.41586899757385254
9.604915976524353e-05,-3.804242418659065e-05,-1.1388572954365572e-05,-0.00010932260943996575,-0.00021231655151610074,-6.805300231902539e-05,0.4319312572479248
9.604915976524353e-05,-3.804242418659065e-05,-1.1388572954365572e-05,-0.00010932260943996575,-0.00021231655151610074,-9.874194379775464e-05,0.4478108882904053
2.8971582651138306e-05,-4.1961429580572585e-05,1.3205793596079984e-05,-6.801659061062004e-05,1.6803703000500825e-05,-9.874194379775464e-05,0.4640543460845947
2.8971582651138306e-05,-4.1961429580572585e-05,1.3205793596079984e-05,-6.801659061062004e-05,1.6803703000500825e-05,-9.874194379775464e-05,0.47995758056640625
2.8971582651138306e-05,-4.1961429580572585e-05,1.3205793596079984e-05,-6.801659061062004e-05,1.6803703000500825e-05,-9.874194379775464e-05,0.4958305358886719
2.8971582651138306e-05,-4.1961429580572585e-05,1.3205793596079984e-05,-6.801659061062004e-05,1.6803703000500825e-05,-9.874194379775464e-05,0.5119905471801758
2.8971582651138306e-05,-4.1961429580572585e-05,1.3205793596079984e-05,-6.801659061062004e-05,1.6803703000500825e-05,-9.874194379775464e-05,0.5279204845428467
2.8971582651138306e-05,-4.1961429580572585e-05,1.3205793596079984e-05,-6.801659061062004e-05,1.6803703000500825e-05,1.5106653013539917e-05,0.5441040992736816
-2.0910054445266724e-05,-5.763745115650032e-05,1.3205793596079984e-05,-6.801659061062004e-05,1.6803703000500825e-05,1.5106653013539917e-05,0.5605669021606445
-2.0910054445266724e-05,-5.763745115650032e-05,3.3605483270457426e-05,1.7575679286840895e-05,0.00013023134200806918,1.5106653013539917e-05,0.5765407085418701
-2.0910054445266724e-05,-5.763745115650032e-05,3.3605483270457426e-05,1.7575679286840895e-05,0.00013023134200806918,1.5106653013539917e-05,0.5925698280334473
-2.0910054445266724e-05,-5.763745115650032e-05,3.3605483270457426e-05,1.7575679286840895e-05,0.00013023134200806918,1.5106653013539917e-05,0.6080451011657715
-2.0910054445266724e-05,-5.763745115650032e-05,3.3605483270457426e-05,1.7575679286840895e-05,0.00013023134200806918,1.5106653013539917e-05,0.624096155166626
