sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,timestamp,lift,thrust
0.00014550725418718615,9.427574252894394e-05,0.0002892697746714755,-0.0003584531814826575,0.0005154697837367783,0.0002739998181500545,0.0,0.00015701660225412082,0.00023803826301323328
0.00014550725418718615,9.427574252894394e-05,0.0002892697746714755,-0.0003584531814826575,0.0005102072896495592,0.0002739998181500545,0.01602339744567871,0.00015175410816690163,0.00023803826301323328
0.00014550725418718615,9.427574252894394e-05,0.0002892697746714755,-0.0003584531814826575,0.0005102072896495592,0.0002739998181500545,0.032028913497924805,0.00015175410816690163,0.00023803826301323328
0.00014550725418718615,9.427574252894394e-05,0.0002892697746714755,-0.0003584531814826575,0.0005102072896495592,0.0002739998181500545,0.047995805740356445,0.00015175410816690163,0.00023803826301323328
0.00014550725418718615,9.427574252894394e-05,0.0001362919951638385,-0.0003584531814826575,0.0005102072896495592,0.00020598939109231143,0.06399822235107422,0.00015175410816690163,8.50604835055963e-05
9.06896074453191e-05,9.427574252894394e-05,0.0001362919951638385,-0.0003584531814826575,0.0005102072896495592,0.00020598939109231143,0.0799875259399414,0.00015175410816690163,0.00013987813024746333
9.06896074453191e-05,6.348237154989167e-06,0.0001362919951638385,-0.0003584531814826575,0.0005102072896495592,0.00020598939109231143,0.09634518623352051,0.00015175410816690163,5.1950624873508544e-05
9.06896074453191e-05,6.348237154989167e-06,0.0001362919951638385,0.00024088642289508912,0.00033654498477132426,0.00020598939109231143,0.11178421974182129,0.0005774314076664134,5.1950624873508544e-05
9.06896074453191e-05,6.348237154989167e-06,0.0001362919951638385,0.00024088642289508912,0.00033654498477132426,0.00020598939109231143,0.12797212600708008,0.0005774314076664134,5.1950624873508544e-05
9.06896074453191e-05,6.348237154989167e-06,0.0001362919951638385,0.00024088642289508912,0.00033654498477132426,0.00020598939109231143,0.1440269947052002,0.0005774314076664134,5.1950624873508544e-05
9.06896074453191e-05,6.348237154989167e-06,0.0001362919951638385,0.00024088642289508912,0.00033654498477132426,0.00020598939109231143,0.1599421501159668,0.0005774314076664134,5.1950624873508544e-05
0.0002130425949731664,6.348237154989167e-06,-0.00014042748558910648,0.00024088642289508912,0.00033654498477132426,0.0004487950210609546,0.1763324737548828,0.0005774314076664134,-0.0003471218434072837
0.0002130425949731664,-0.0001474335345048619,-0.00014042748558910648,0.00024088642289508912,0.00033654498477132426,0.0004487950210609546,0.19184255599975586,0.0005774314076664134,-0.0005009036150671348
0.0002130425949731664,-0.0001474335345048619,-0.00014042748558910648,-0.00044148364374767214,0.00033654498477132426,0.0004487950210609546,0.20791220664978027,-0.00010493865897634789,-0.0005009036150671348
0.0002130425949731664,-0.0001474335345048619,-0.00014042748558910648,-0.00044148364374767214,0.00029736863989980323,0.0004487950210609546,0.22371506690979004,-0.0001441150038478689,-0.0005009036150671348
0.0002130425949731664,-0.0001474335345048619,-0.00014042748558910648,-0.00044148364374767214,0.00029736863989980323,0.0004487950210609546,0.24026894569396973,-0.0001441150038478689,-0.0005009036150671348
0.0002130425949731664,-0.0001474335345048619,-0.00014042748558910648,-0.00044148364374767214,0.00029736863989980323,0.0004487950210609546,0.25582385063171387,-0.0001441150038478689,-0.0005009036150671348
0.0002130425949731664,-0.0001474335345048619,-0.0001051249210873441,-0.00044148364374767214,0.00029736863989980323,0.00030308971602107195,0.27187013626098633,-0.0001441150038478689,-0.00046560105056537237
3.587196070345203e-05,-0.0001474335345048619,-0.0001051249210873441,-0.00044148364374767214,0.00029736863989980323,0.00030308971602107195,0.28789329528808594,-0.0001441150038478689,-0.00028843041629565805
3.587196070345203e-05,-9.802456224152573e-05,-0.0001051249210873441,-0.00044148364374767214,0.00029736863989980323,0.00030308971602107195,0.3043193817138672,-0.0001441150038478689,-0.00023902144403232186
3.587196070345203e-05,-9.802456224152573e-05,-0.0001051249210873441,-7.252433607707887e-05,0.0004932503642574082,0.00030308971602107195,0.32036471366882324,0.00042072602818032934,-0.00023902144403232186
3.587196070345203e-05,-9.802456224152573e-05,-0.0001051249210873441,-7.252433607707887e-05,0.0004932503642574082,0.00030308971602107195,0.3358798027038574,0.00042072602818032934,-0.00023902144403232186
3.587196070345203e-05,-9.802456224152573e-05,-0.0001051249210873441,-7.252433607707887e-05,0.0004932503642574082,0.00030308971602107195,0.35227060317993164,0.00042072602818032934,-0.00023902144403232186
3.587196070345203e-05,-9.802456224152573e-05,-0.0001051249210873441,-7.252433607707887e-05,0.0004932503642574082,0.00030308971602107195,0.3683431148529053,0.00042072602818032934,-0.00023902144403232186
0.0008415451874175863,-9.802456224152573e-05,3.0311211462895478e-05,-7.252433607707887e-05,0.0004932503642574082,0.0009635327239670864,0.3838324546813965,0.00042072602818032934,-0.0009092585381962166
0.0008415451874175863,-4.615292193384246e-06,3.0311211462895478e-05,-7.252433607707887e-05,0.0004932503642574082,0.0009635327239670864,0.4002962112426758,0.00042072602818032934,-0.000815849268148075
0.0008415451874175863,-4.615292193384246e-06,3.0311211462895478e-05,-0.0008747623235953895,0.0004932503642574082,0.0009635327239670864,0.4159853458404541,-0.0003815119593379813,-0.000815849268148075
0.0008415451874175863,-4.615292193384246e-06,3.0311211462895478e-05,-0.0008747623235953895,0.0005546461286082994,0.0009635327239670864,0.43197011947631836,-0.0003201161949870901,-0.000815849268148075
0.0008415451874175863,-4.615292193384246e-06,3.0311211462895478e-05,-0.0008747623235953895,0.0005546461286082994,0.0009635327239670864,0.44788193702697754,-0.0003201161949870901,-0.000815849268148075
