sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,timestamp
-2.1452865292953538e-05,-1.3075768947601318e-06,-9.18957014237054e-06,-1.0772097495337363e-05,-7.956739394909818e-06,-5.0585236280181745e-06,0.0
-2.1452865292953538e-05,-8.028000593185425e-06,1.0177252754151045e-06,-1.0772097495337363e-05,-7.956739394909818e-06,-5.0585236280181745e-06,0.01603102684020996
-2.1452865292953538e-05,-8.028000593185425e-06,1.0177252754151045e-06,-1.0772097495337363e-05,-7.956739394909818e-06,-5.0585236280181745e-06,0.03192281723022461
-2.1452865292953538e-05,-8.028000593185425e-06,1.0177252754151045e-06,-1.0772097495337363e-05,-7.956739394909818e-06,-5.0585236280181745e-06,0.0479581356048584
-2.8337201764511155e-05,-8.028000593185425e-06,1.0177252754151045e-06,-1.3633120444556113e-05,-7.956739394909818e-06,-5.0585236280181745e-06,0.06402158737182617
-2.8337201764511155e-05,-8.028000593185425e-06,1.0177252754151045e-06,-1.3633120444556113e-05,-1.880478474403091e-05,-3.6742117616436754e-05,0.07993316650390625
-2.8337201764511155e-05,-8.028000593185425e-06,1.0177252754151045e-06,-1.3633120444556113e-05,-1.880478474403091e-05,-3.6742117616436754e-05,0.0958101749420166
-2.8337201764511155e-05,-7.487833499908447e-07,-1.4583790494543392e-05,-1.3633120444556113e-05,-1.880478474403091e-05,-3.6742117616436754e-05,0.11197161674499512
-2.8337201764511155e-05,-7.487833499908447e-07,-1.4583790494543392e-05,-1.3633120444556113e-05,-1.880478474403091e-05,-3.6742117616436754e-05,0.12794089317321777
-2.8337201764511155e-05,-7.487833499908447e-07,-1.4583790494543392e-05,-1.3633120444556113e-05,-1.880478474403091e-05,-3.6742117616436754e-05,0.14384007453918457
-2.8337201764511155e-05,-7.487833499908447e-07,-1.4583790494543392e-05,-1.3633120444556113e-05,-1.880478474403091e-05,-3.6742117616436754e-05,0.15995168685913086
-1.8435380151199388e-05,-7.487833499908447e-07,-1.4583790494543392e-05,3.2945986716548248e-06,-1.7642494170910794e-05,-7.040378066799913e-06,0.17595195770263672
-1.8435380151199388e-05,-7.487833499908447e-07,-1.4583790494543392e-05,3.2945986716548248e-06,-1.7642494170910794e-05,-7.040378066799913e-06,0.19185209274291992
-1.8435380151199388e-05,-7.487833499908447e-07,-1.4583790494543392e-05,3.2945986716548248e-06,-1.7642494170910794e-05,-7.040378066799913e-06,0.20789122581481934
-1.8435380151199388e-05,-2.370402216911316e-05,6.41939620818488e-06,3.2945986716548248e-06,-1.7642494170910794e-05,-7.040378066799913e-06,0.2238776683807373
-1.8435380151199388e-05,-2.370402216911316e-05,6.41939620818488e-06,3.2945986716548248e-06,-1.7642494170910794e-05,-7.040378066799913e-06,0.23988008499145508
-1.8435380151199388e-05,-2.370402216911316e-05,6.41939620818488e-06,3.2945986716548248e-06,-1.7642494170910794e-05,-7.040378066799913e-06,0.2559840679168701
-2.4030766179489182e-05,-2.370402216911316e-05,6.41939620818488e-06,1.8314969155053262e-05,-1.7642494170910794e-05,-7.040378066799913e-06,0.27182674407958984
-2.4030766179489182e-05,-2.370402216911316e-05,6.41939620818488e-06,1.8314969155053262e-05,-6.258007018811185e-06,-1.3969418021939073e-05,0.28774046897888184
-2.4030766179489182e-05,-2.370402216911316e-05,6.41939620818488e-06,1.8314969155053262e-05,-6.258007018811185e-06,-1.3969418021939073e-05,0.3038747310638428
-2.4030766179489182e-05,-6.902962923049927e-06,3.416812227624577e-06,1.8314969155053262e-05,-6.258007018811185e-06,-1.3969418021939073e-05,0.31987667083740234
-2.4030766179489182e-05,-6.902962923049927e-06,3.416812227624577e-06,1.8314969155053262e-05,-6.258007018811185e-06,-1.3969418021939073e-05,0.33579349517822266
-2.4030766179489182e-05,-6.902962923049927e-06,3.416812227624577e-06,1.8314969155053262e-05,-6.258007018811185e-06,-1.3969418021939073e-05,0.35199666023254395
-2.4030766179489182e-05,-6.902962923049927e-06,3.416812227624577e-06,1.8314969155053262e-05,-6.258007018811185e-06,-1.3969418021939073e-05,0.3678395748138428
-1.929964750044255e-05,-6.902962923049927e-06,3.416812227624577e-06,1.2712132546166544e-05,-6.258007018811185e-06,-2.486216685464171e-05,0.3838026523590088
-1.929964750044255e-05,-6.902962923049927e-06,3.416812227624577e-06,1.2712132546166544e-05,-6.258007018811185e-06,-2.486216685464171e-05,0.3997323513031006
-1.929964750044255e-05,-6.902962923049927e-06,3.416812227624577e-06,1.2712132546166544e-05,-6.258007018811185e-06,-2.486216685464171e-05,0.4157102108001709
-1.929964750044255e-05,-9.704381227493286e-06,1.0614073084252995e-05,1.2712132546166544e-05,-6.258007018811185e-06,-2.486216685464171e-05,0.4317333698272705
-1.929964750044255e-05,-9.704381227493286e-06,1.0614073084252995e-05,1.2712132546166544e-05,-6.258007018811185e-06,-2.486216685464171e-05,0.44783449172973633
-1.929964750044255e-05,-9.704381227493286e-06,1.0614073084252995e-05,1.2712132546166544e-05,-6.258007018811185e-06,-2.486216685464171e-05,0.46370911598205566
-2.789761750929265e-05,-9.704381227493286e-06,1.0614073084252995e-05,1.5513550850609903e-05,-6.258007018811185e-06,-2.486216685464171e-05,0.4797377586364746
-2.789761750929265e-05,-9.704381227493286e-06,1.0614073084252995e-05,1.5513550850609903e-05,-1.4215227096325833e-05,-3.080394479534898e-06,0.49567317962646484
-2.789761750929265e-05,-9.704381227493286e-06,1.0614073084252995e-05,1.5513550850609903e-05,-1.4215227096325833e-05,-3.080394479534898e-06,0.5117673873901367
-2.789761750929265e-05,-8.594244718551636e-06,-7.386529637914974e-06,1.5513550850609903e-05,-1.4215227096325833e-05,-3.080394479534898e-06,0.5276272296905518
-2.789761750929265e-05,-8.594244718551636e-06,-7.386529637914974e-06,1.5513550850609903e-05,-1.4215227096325833e-05,-3.080394479534898e-06,0.5438461303710938
-2.789761750929265e-05,-8.594244718551636e-06,-7.386529637914974e-06,1.5513550850609903e-05,-1.4215227096325833e-05,-3.080394479534898e-06,0.5596096515655518
-2.789761750929265e-05,-8.594244718551636e-06,-7.386529637914974e-06,1.5513550850609903e-05,-1.4215227096325833e-05,-3.080394479534898e-06,0.5757663249969482
-3.220405309431462e-05,-8.594244718551636e-06,-7.386529637914974e-06,1.4559876534203653e-05,-2.33347377469606e-05,1.869765260527345e-05,0.5918748378753662
-3.220405309431462e-05,-8.594244718551636e-06,-7.386529637914974e-06,1.4559876534203653e-05,-2.33347377469606e-05,1.869765260527345e-05,0.6077463626861572
-3.220405309431462e-05,-1.418963074684143e-05,-1.5783333970648128e-05,1.4559876534203653e-05,-2.33347377469606e-05,1.869765260527345e-05,0.623755693435669
-3.220405309431462e-05,-1.418963074684143e-05,-1.5783333970648128e-05,1.4559876534203653e-05,-2.33347377469606e-05,1.869765260527345e-05,0.639672040939331
-3.220405309431462e-05,-1.418963074684143e-05,-1.5783333970648128e-05,1.4559876534203653e-05,-2.33347377469606e-05,1.869765260527345e-05,0.6557483673095703
-3.220405309431462e-05,-1.418963074684143e-05,-1.5783333970648128e-05,1.4559876534203653e-05,-2.33347377469606e-05,1.869765260527345e-05,0.6717052459716797
1.3378598997665359e-05,-1.418963074684143e-05,-1.5783333970648128e-05,-0.0001179412488014897,-2.33347377469606e-05,1.869765260527345e-05,0.6876564025878906
1.3378598997665359e-05,-1.418963074684143e-05,-1.5783333970648128e-05,-0.0001179412488014897,-0.0003266031703641481,-9.317281505753783e-05,0.7037680149078369
1.3378598997665359e-05,-1.418963074684143e-05,-1.5783333970648128e-05,-0.0001179412488014897,-0.0003266031703641481,-9.317281505753783e-05,0.7197568416595459
1.3378598997665359e-05,-5.0593167543411255e-05,-3.7382567121130306e-05,-0.0001179412488014897,-0.0003266031703641481,-9.317281505753783e-05,0.7357139587402344
1.3378598997665359e-05,-5.0593167543411255e-05,-3.7382567121130306e-05,-0.0001179412488014897,-0.0003266031703641481,-9.317281505753783e-05,0.751631498336792
1.3378598997665359e-05,-5.0593167543411255e-05,-3.7382567121130306e-05,-0.0001179412488014897,-0.0003266031703641481,-9.317281505753783e-05,0.7678306102752686
1.3378598997665359e-05,-5.0593167543411255e-05,-3.7382567121130306e-05,-0.0001179412488014897,-0.0003266031703641481,-9.317281505753783e-05,0.7836506366729736
5.164478094346614e-05,-5.0593167543411255e-05,-3.7382567121130306e-05,-0.0002589658383400639,-0.0005580182037046022,-0.00011594178936173705,0.7997748851776123
5.164478094346614e-05,-5.0593167543411255e-05,-3.7382567121130306e-05,-0.0002589658383400639,-0.0005580182037046022,-0.00011594178936173705,0.8157920837402344
5.164478094346614e-05,-2.09026038646698e-05,-4.979992105108577e-06,-0.0002589658383400639,-0.0005580182037046022,-0.00011594178936173705,0.8318278789520264
5.164478094346614e-05,-2.09026038646698e-05,-4.979992105108577e-06,-0.0002589658383400639,-0.0005580182037046022,-0.00011594178936173705,0.8477783203125
5.164478094346614e-05,-2.09026038646698e-05,-4.979992105108577e-06,-0.0002589658383400639,-0.0005580182037046022,-0.00011594178936173705,0.8638408184051514
5.164478094346614e-05,-2.09026038646698e-05,-4.979992105108577e-06,-0.0002589658383400639,-0.0005580182037046022,-0.00011594178936173705,0.8797056674957275
0.00010841075451142879,-2.09026038646698e-05,-4.979992105108577e-06,0.0002101227160422603,-0.0005580182037046022,-0.00011594178936173705,0.895686149597168
0.00010841075451142879,-2.09026038646698e-05,-4.979992105108577e-06,0.0002101227160422603,0.0001966660061190062,0.00025431853869269105,0.9116091728210449
0.00010841075451142879,-2.09026038646698e-05,-4.979992105108577e-06,0.0002101227160422603,0.0001966660061190062,0.00025431853869269105,0.9276773929595947
0.00010841075451142879,0.00010957196354866028,-3.7878992096007646e-06,0.0002101227160422603,0.0001966660061190062,0.00025431853869269105,0.9438316822052002
0.00010841075451142879,0.00010957196354866028,-3.7878992096007646e-06,0.0002101227160422603,0.0001966660061190062,0.00025431853869269105,0.9598262310028076
0.00010841075451142879,0.00010957196354866028,-3.7878992096007646e-06,0.0002101227160422603,0.0001966660061190062,0.00025431853869269105,0.9758567810058594
0.00010841075451142879,0.00010957196354866028,-3.7878992096007646e-06,0.0002101227160422603,0.0001966660061190062,0.00025431853869269105,0.991724967956543
-0.00021323080985777287,0.00010957196354866028,-3.7878992096007646e-06,0.00010861600598977006,-0.0002895588836362428,-0.00012485268375565794,1.00762939453125
-0.00021323080985777287,0.00010957196354866028,-3.7878992096007646e-06,0.00010861600598977006,-0.0002895588836362428,-0.00012485268375565794,1.0237064361572266
-0.00021323080985777287,-0.00025162473320961,-1.2788200570684749e-05,0.00010861600598977006,-0.0002895588836362428,-0.00012485268375565794,1.0395796298980713
-0.00021323080985777287,-0.00025162473320961,-1.2788200570684749e-05,0.00010861600598977006,-0.0002895588836362428,-0.00012485268375565794,1.0556378364562988
-0.00021323080985777287,-0.00025162473320961,-1.2788200570684749e-05,0.00010861600598977006,-0.0002895588836362428,-0.00012485268375565794,1.0717926025390625
-0.00021323080985777287,-0.00025162473320961,-1.2788200570684749e-05,0.00010861600598977006,-0.0002895588836362428,-0.00012485268375565794,1.087552785873413
-0.0004054408880972138,-0.00025162473320961,-1.2788200570684749e-05,-0.0002674296978981694,-0.0002895588836362428,-0.00012485268375565794,1.1036159992218018
